"","ID","participantid_in_session","participantcode","participantlabel","participant_is_bot","participant_index_in_pages","participant_max_page_index","participant_current_app_name","participant_round_number","participant_current_page_name","participantip_address","participanttime_started","participantexclude_from_data_an","participantvisited","participantmturk_worker_id","participantmturk_assignment_id","player","playerrandom_belief","playerbelief","playerbenchmark_belief","playerbelief_payoff","playergame_payoff","playerother_game_payoff","playerother_greedy","playerother_accepted_greedy","playerpayoff","groupid_in_subsession","grouprandom_game","groupoffer_accept","groupoffer","subsessionround_number","subsessiontot_fair","subsessiontot_accept","sessioncode","sessionlabel","sessionexperimenter_name","sessionmturk_HITId","sessionmturk_HITGroupId","sessioncomment","sessionis_demo","gender","age","playercountry","playerdegree","playerjob","playermajor","playeryear_major","playercomp_1","playercomp_2","playercomments","playerwhy_choice","playergasp_1","playergasp_2","playergasp_3","playergasp_4","playergasp_5","playergasp_6","playergasp_7","playergasp_8","playergasp_9","playergasp_10","playergasp_11","playergasp_12","playergasp_13","playergasp_14","playergasp_15","playergasp_16","guilt_neg","guilt_rep","shame_neg","shame_wit","playeraquino_1","playeraquino_2","playeraquino_3","playeraquino_4","playeraquino_5","playeraquino_6","playeraquino_7","playeraquino_8","playeraquino_9","playeraquino_10","playeraquino_11","playeraquino_12","playeraquino_13","ER_index","ER_out","ER_in","CR_out","CR_in","RS","RS_s","RS_v","RS_f","RT","RT_t","RT_r","playerstaxi_1","playerstaxi_2","playerstaxi_3","playerstaxi_4","playerstaxi_5","playerstaxi_6","playerstaxi_7","playerstaxi_8","playerstaxi_9","playerstaxi_10","playerstaxi_11","playerstaxi_12","playerstaxi_13","playerstaxi_14","playerstaxi_15","playerstaxi_16","playerstaxi_17","playerstaxi_18","playerstaxi_19","playerstaxi_20","playerstaxi_21","playerstaxi_22","playerstaxi_23","playerstaxi_24","playerstaxi_25","playerstaxi_26","playerstaxi_27","playerstaxi_28","playerstaxi_29","playerstaxi_30","playerstaxi_31","playerstaxi_32","playerstaxi_33","playerstaxi_34","playerstaxi_35","playerstaxi_36","playerstaxi_37","playerstaxi_38","playerstaxi_39","playerstaxi_40","playerstaxi_41","playerstaxi_42","playerstaxi_43","playerstaxi_44","playerstaxi_45","playerstaxi_46","playerstaxi_47","playerstaxi_48","playerstaxi_49","playerstaxi_50","playerstaxi_51","playerstaxi_52","playerstaxi_53","playerstaxi_54","playerstaxi_55","playerstaxi_56","playerstaxi_57","participant__id_in_session","sec_offer","sec_accept","sec_belief","sessiontime_scheduled","sessiontime_started","aquino_mis","RS_s_norm","RS_v_norm","RS_f_norm","RS_norm","RT_t_norm","RT_r_norm","RT_norm","ER_index_norm","ER_out_norm","ER_in_norm","CR_out_norm","CR_in_norm","treat","unique_group"
"1","24_2_D1",17,"76m30al9","pc11",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.171.127.156","2017-02-24 10:23:39.422607+00:00",0,1,NA,NA,1,NA,76,67,10,14,2,6,4,14,1,0.8485,0,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,22,"Italiana","Laurea magistrale","Studente","Management",1,5,5,"No","Scegliendo l'offerta B ho posto l'altro gicatore nelle condizioni di dover scegliere fra un guadagno nullo e un guadagno - seppur minimo - di 2 euro. Mettendomi nei suoi panni ho pensato, ""meglio poco che niente""...",3,6,7,6,5,6,3,2,5,6,6,3,7,6,5,5,4.75,5.5,6.5,3.5,4,4,4,5,4,4,4,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,7,NA,33,NA,NA,3.30769228935242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"2","24_2_D1",14,"axshytgm","pc8",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.109.132.249","2017-02-24 10:23:26.204632+00:00",0,1,NA,NA,2,NA,3,4,2,2,14,NA,NA,6,1,0.8485,0,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,19,"italiana","diploma","studente","clef",1,5,5,"il margine d'errore era eccessivamente ridotto, in quanto era difficile riuscire a prevedere con certezza quale sarebbe stato il numero di giocatori che avrebbero proposto l'offerta A.","Ho pensato che al giocatore 2 convenisse sempre accettare l'offerta B che gli veniva proposta dal giocatore 1, in quanto questa gli avrebbe garantito un payoff piÃ¹ alto rispetto a se avesse scelto di rifiutare. Detto ciÃ², a rigor di logica, il giocatore 1 poteva ipotizzare che il giocatore 2 avrebbe accettato l'offerta B, e per questo motivo avrebbe trovato conveniente fare quest'offerta. Ho tuttavia previsto che afre questa scelta sarebbero state 3 persone, in quanto ho pensato che alcuni giocatori 1 non avrebbero voluto correre il rischio di non guadagnare nulla in caso il giocatore 2 avesse rifiutato l'offerta B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,13,22,21,23,20,9,6,5,15,4,9,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,3,1,2,4,2,3,3,2,3,1,2,3,3,3,3,2,4,1,3,4,1,1,4,4,2,1,3,1,4,2,3,2,14,NA,8,12,NA,NA,NA,52,44,40,44,36,48,38,46,40,60,52,58,2,1
"3","24_2_D1",8,"ie8qdf04","pc10",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.63.100.77","2017-02-24 10:23:19.375129+00:00",0,1,NA,NA,2,NA,7,4,2,2,14,NA,NA,6,2,0.876,NA,"1",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,20,"italiana","diploma liceo scientifico","studente","CLEAM",2,4,5,"","Essendo il giocatore 2 e non potendo scegliere, ho solo ragionato sulla previsione. PoichÃ¨ per un Giocatore 2 era controproducente rifiutare l' offerta poichÃ¨ non garantiva alcun guadagno, mi aspettavo che pochi giocatori1 scegliessero l' offerta a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,18,21,20,21,16,6,5,5,26,8,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,4,3,2,4,3,2,3,3,3,2,3,4,3,2,3,2,3,4,3,3,3,2,3,1,1,2,3,3,2,1,1,3,3,3,2,2,8,NA,8,29,NA,NA,NA,46,42,44,44,52,58,60,54,54,58,46,50,2,2
"4","24_2_D1",9,"ob6l12v5","pc23",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.186.38.2","2017-02-24 10:23:09.052963+00:00",0,1,NA,NA,1,NA,79,67,2,14,2,6,4,6,2,0.876,NA,"1",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,20,"Italiana","MaturitÃ  scientifica","Studente","Laurea in Economia Aziendale e Management",3,4,5,"No","Massimizzazione del profitto",5,7,6,3,6,5,4,3,6,7,6,4,6,7,4,4,5.5,5.75,6,3.5,4,4,4,5,4,4,3,2,2,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,NA,20,NA,NA,3.76923084259033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"5","24_2_D1",11,"khiu3ox7","pc7",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.152.65.114","2017-02-24 10:23:29.154212+00:00",0,1,NA,NA,1,NA,30,71,2,8,8,7,5,12,3,0.1256,NA,"1",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,1,20,"italiana","laurea","studentessa","economia",3,4,4,"Basare le stime su dati piÃ¹ concreti e non su una possibile visione che possiamo avere delle scelte altrui.","Ho scelto l'offerta A rispetto alla B in quanto Ã¨ stato preferibile ricevere 8 euro con certezza piuttosto che rischiare di prenderne 0. Ho selezionato come % di coloro che avrebbero accettato l'offerta B il 30% in quanto credevo vi fossero piÃ¹ persone disposte a rifiutare 2 euro a discapito dell'altra parte che ne avrebbe presi 14.",1,1,7,1,6,7,7,1,7,7,7,1,7,1,7,7,4,5.25,7,2.5,5,5,4,5,3,3,3,1,1,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,21,NA,194,NA,NA,3.1538462638855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"6","24_2_D1",12,"qc6cr12u","pc20",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.152.65.114","2017-02-24 10:22:57.686296+00:00",0,1,NA,NA,2,NA,6,3,2,8,8,NA,NA,12,3,0.1256,NA,"1",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,22,"italiana","diploma","studente","Cleam",3,5,5,"No","Ho presunto che la maggior parte dei giocatori 1 preferisse un guadagno certo di 8 euro invece che rischiare di non guadagnare nulla.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,16,15,23,22,15,5,5,5,27,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,3,2,4,2,1,4,4,2,1,3,3,3,3,3,4,1,4,2,3,3,4,1,2,1,1,2,1,2,2,1,4,2,3,1,3,2,4,2,12,NA,NA,35,NA,NA,NA,42,42,44,42,66,54,62,46,50,46,54,52,2,3
"7","24_2_D1",6,"4y2on3qk","pc25",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.170.176.153","2017-02-24 10:23:22.416070+00:00",0,1,NA,NA,2,NA,6,3,2,8,8,NA,NA,12,4,0.4365,1,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,1,21,"italiana","bachelor","studente","biem",2,5,5,"","scegliere l' offerta b sarebbe stata la scelta piÃ¹ vantaggiosa per il giocatore 1, tuttavia con un grado di rischio. il giocatore 1 pertanto, se risk averse,, avrebbe scelto la a se voleva ricevere un guadagno piÃ¹u alto e assicurato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,19,22,19,21,16,6,5,5,20,5,11,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,2,2,2,2,3,3,2,2,3,3,1,2,3,3,1,3,4,2,4,3,2,2,4,3,2,2,2,2,3,4,2,3,2,2,3,3,3,6,NA,NA,19,NA,NA,NA,46,44,46,NA,38,56,50,58,60,60,46,50,2,4
"8","24_2_D1",21,"o92hr6n8","pc19",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.79.145.167","2017-02-24 10:22:49.723245+00:00",0,1,NA,NA,1,NA,41,71,2,8,8,7,5,12,4,0.4365,1,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,0,21,"Italiana","Laurea triennale","Studente","CLEF",3,5,5,"","",6,7,5,2,6,4,2,1,5,5,6,1,6,6,6,7,6,6.25,5,1.5,5,5,4,5,5,4,5,3,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,75,NA,NA,3.38461542129517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
"9","24_2_D1",4,"9bpx8psh","pc18",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.101.235.124","2017-02-24 10:22:46.506307+00:00",0,1,NA,NA,2,NA,2,4,2,2,14,NA,NA,6,5,0.0899,1,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,1,20,"Italiana","Diploma","Studentessa","Economia e Management per arte cultura e comunicazione",3,5,2,"Sarebbe stato piÃ¹ divertente se Giocatore 1 e Giocatore 2 fossero stati avversarsi. Facendo piÃ¹ turni di gioco entrambi raccumulano una cifra e solo chi  raccumula la cifra maggiore prende i soldi, l'altro invece non guadagna niente.","Ho pensato che dato che non siamo avversari non aveva senso rinunciare all'offerta B e quindi ai 2 euro. L'unico motivo che mi viene in mente per rifiutare Ã¨ per non voler far vincere all'altro una cifra maggiore della mia. Motivo che per me non ha senso perchÃ©: non saprÃ² mai chi Ã¨ stato il mio Giocatore 1 e i soldi che riceve non sono miei e non li sottrae a me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,15,18,20,19,16,6,5,5,21,5,13,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,2,4,1,3,4,3,2,4,3,3,2,4,4,1,3,1,2,1,3,3,2,1,4,2,1,2,2,2,2,2,1,1,3,2,2,1,4,NA,9,8,NA,NA,NA,46,44,46,NA,38,64,52,52,50,52,48,46,2,5
"10","24_2_D1",3,"uorbzzqh","pc21",0,32,32,"miniultimatum_survey",1,"PaymentInfo","10.138.121.5","2017-02-24 10:23:01.436056+00:00",0,1,NA,NA,1,NA,33,67,2,14,2,6,4,18,5,0.0899,1,"0",1,4,5,"1pexnuy7",16,NA,NA,NA,NA,0,1,21,"italiana","diploma di scuola superiore","studente","BIEM",3,5,5,"ritengo non bisongni lasciare scegliere al computer come i guadagni verranno spartiti. Sono stata fortunata in questo caso perchÃ¨ il computer mi ha permesso la vincita piÃ¹ alta, erÃ² ritengo che il guadagno debba essere assegnato sul gioco. Questo servirebbe piÃ¹ da incentivo e verrebbe premiata la strategia (nel caso si rivelasse azzeccata) del giocatore che ha piÃ¹ potere decisionale (in questo caso il giocatore 1)","Essendo io personalmente risk taker ho deciso che al guadagno sicuro di 8euro preferivo prendere il richio e tentare di ricerve 6 in piÃ¹ qundi 14. La scelta si Ã¨ rivelata di successo.  Per la previsione, per quanto sbagliata, ho assunto che gli altri partecipanti preferissero non guadagnare niente (visto che comunque il guadagno di 2euro era comunque minimo) piuttosto che permettere all'altro giocatore un vincita cosÃ¬ elevata (14euro).",6,7,7,1,7,5,1,1,7,6,7,3,7,4,7,5,5.5,7,6.25,1.5,5,4,5,5,5,5,5,4,4,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,13,NA,NA,4.1538462638855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
